"chord" "key" "music"
"248" "D" "A" "muse apocalypse please"
"249" "E" "A" "muse apocalypse please"
"250" "A" "A" "muse apocalypse please"
"251" "C#" "A" "muse apocalypse please"
"252" "A" "A" "muse apocalypse please"
"253" "C#" "A" "muse apocalypse please"
"254" "E" "D" "muse ashamed"
"255" "A" "D" "muse ashamed"
"256" "D" "D" "muse ashamed"
"257" "G" "D" "muse ashamed"
"258" "B" "D" "muse ashamed"
"259" "E" "D" "muse ashamed"
"260" "B" "D" "muse ashamed"
"261" "B" "D" "muse ashamed"
"262" "Am" "C" "muse black black heart"
"263" "Fmaj7" "C" "muse black black heart"
"264" "G6" "C" "muse black black heart"
"265" "E7" "C" "muse black black heart"
"266" "Am" "C" "muse black black heart"
"267" "Fmaj7" "C" "muse black black heart"
"268" "G6" "C" "muse black black heart"
"269" "E7" "C" "muse black black heart"
"270" "Am" "C" "muse black black heart"
"271" "Fmaj7" "C" "muse black black heart"
"272" "G6" "C" "muse black black heart"
"273" "E7" "C" "muse black black heart"
"274" "Am" "C" "muse black black heart"
"275" "Fmaj7" "C" "muse black black heart"
"276" "G6" "C" "muse black black heart"
"277" "E7" "C" "muse black black heart"
"278" "Am" "C" "muse black black heart"
"279" "Fmaj7" "C" "muse black black heart"
"280" "G6" "C" "muse black black heart"
"281" "E" "C" "muse black black heart"
"282" "E7" "C" "muse black black heart"
"283" "Am" "C" "muse black black heart"
"284" "Fmaj7" "C" "muse black black heart"
"285" "G6" "C" "muse black black heart"
"286" "E7" "C" "muse black black heart"
"287" "Am" "C" "muse black black heart"
"288" "Fmaj7" "C" "muse black black heart"
"289" "G6" "C" "muse black black heart"
"290" "E" "C" "muse black black heart"
"291" "E7" "C" "muse black black heart"
"292" "Am" "C" "muse black black heart"
"293" "Fmaj7" "C" "muse black black heart"
"294" "G6" "C" "muse black black heart"
"295" "E7" "C" "muse black black heart"
"296" "Am" "C" "muse black black heart"
"297" "Fmaj7" "C" "muse black black heart"
"298" "G6" "C" "muse black black heart"
"299" "E7" "C" "muse black black heart"
